date,price
1986-09-01,1.6
1987-01-01,1.6
1988-03-01,2.39
1989-04-01,2.02
1990-04-01,2.2
1991-04-01,2.25
1992-04-01,2.19
1993-04-01,2.28
1994-04-01,2.3
1995-04-01,2.32
1996-04-01,2.36
1997-04-01,2.42
1998-04-01,2.56
1999-03-01,2.43
2000-04-01,2.24
2001-04-01,2.24
2002-04-01,2.35
2003-04-01,2.46
2004-05-01,2.47
2005-06-01,2.58
2006-01-01,2.67
2006-05-01,2.78
2007-01-01,2.89
2007-06-01,3.0
2008-06-01,3.21
2009-07-01,3.43
2010-01-01,3.43
2010-07-01,3.53
2011-07-01,3.64
2012-01-01,3.81
2012-07-01,3.96
2013-01-01,4.03
2013-07-01,4.18
2014-01-01,4.24
2014-07-01,4.29
2015-01-01,4.29
2015-07-01,4.29
2016-01-01,4.29
2016-07-01,4.5
2017-01-01,4.5
2017-07-01,4.5
2018-01-01,4.61
2018-07-01,4.62
2019-01-01,4.71
2019-07-09,4.71
2020-01-14,4.82
2020-07-01,4.82
2021-01-01,4.89
2021-07-01,4.93
2022-01-01,5.04
2022-07-01,5.15
2023-01-01,5.36
2023-07-01,5.58
2024-01-01,5.69
2024-07-01,5.69
2025-01-01,5.79
