date,price,bigmac_per_10k
1986-09-01,1.6,6250.0
1987-01-01,1.6,6250.0
1988-03-01,2.39,4184.100418410042
1989-04-01,2.02,4950.495049504951
1990-04-01,2.2,4545.454545454545
1991-04-01,2.25,4444.444444444444
1992-04-01,2.19,4566.2100456621
1993-04-01,2.28,4385.964912280702
1994-04-01,2.3,4347.826086956522
1995-04-01,2.32,4310.344827586207
1996-04-01,2.36,4237.28813559322
1997-04-01,2.42,4132.231404958678
1998-04-01,2.56,3906.25
1999-03-01,2.43,4115.226337448559
2000-04-01,2.24,4464.285714285714
2001-04-01,2.24,4464.285714285714
2002-04-01,2.35,4255.31914893617
2003-04-01,2.46,4065.040650406504
2004-05-01,2.47,4048.5829959514167
2005-06-01,2.58,3875.968992248062
2006-01-01,2.67,3745.318352059925
2006-05-01,2.78,3597.1223021582737
2007-01-01,2.89,3460.207612456747
2007-06-01,3.0,3333.3333333333335
2008-06-01,3.21,3115.264797507788
2009-07-01,3.43,2915.451895043732
2010-01-01,3.43,2915.451895043732
2010-07-01,3.53,2832.8611898016998
2011-07-01,3.64,2747.252747252747
2012-01-01,3.81,2624.6719160104985
2012-07-01,3.96,2525.252525252525
2013-01-01,4.03,2481.3895781637716
2013-07-01,4.18,2392.3444976076557
2014-01-01,4.24,2358.490566037736
2014-07-01,4.29,2331.002331002331
2015-01-01,4.29,2331.002331002331
2015-07-01,4.29,2331.002331002331
2016-01-01,4.29,2331.002331002331
2016-07-01,4.5,2222.222222222222
2017-01-01,4.5,2222.222222222222
2017-07-01,4.5,2222.222222222222
2018-01-01,4.61,2169.1973969631235
2018-07-01,4.62,2164.5021645021643
2019-01-01,4.71,2123.1422505307855
2019-07-09,4.71,2123.1422505307855
2020-01-14,4.82,2074.688796680498
2020-07-01,4.82,2074.688796680498
2021-01-01,4.89,2044.989775051125
2021-07-01,4.93,2028.397565922921
2022-01-01,5.04,1984.126984126984
2022-07-01,5.15,1941.7475728155339
2023-01-01,5.36,1865.6716417910447
2023-07-01,5.58,1792.1146953405018
2024-01-01,5.69,1757.469244288225
2024-07-01,5.69,1757.469244288225
2025-01-01,5.79,1727.1157167530225
